sp,gbif_file,splink_file
Annona parviflora,NA,output/p2/occs/Annona parviflora/splink/Annona parviflora.csv
Annona xylopiifolia,NA,output/p2/occs/Annona xylopiifolia/splink/Annona xylopiifolia.csv
Anthurium jureianum,NA,output/p2/occs/Anthurium jureianum/splink/Anthurium jureianum.csv
Anthurium langsdorffii,NA,output/p2/occs/Anthurium langsdorffii/splink/Anthurium langsdorffii.csv
Aphelandra squarrosa,output/p2/occs/Aphelandra squarrosa/gbif/Aphelandra squarrosa.csv,output/p2/occs/Aphelandra squarrosa/splink/Aphelandra squarrosa.csv
Apinagia riedelii,output/p2/occs/Apinagia riedelii/gbif/Apinagia riedelii.csv,output/p2/occs/Apinagia riedelii/splink/Apinagia riedelii.csv
Apium prostratum,output/p2/occs/Apium prostratum/gbif/Apium prostratum.csv,output/p2/occs/Apium prostratum/splink/Apium prostratum.csv
Apuleia leiocarpa,output/p2/occs/Apuleia leiocarpa/gbif/Apuleia leiocarpa.csv,output/p2/occs/Apuleia leiocarpa/splink/Apuleia leiocarpa.csv
Arachis villosa,output/p2/occs/Arachis villosa/gbif/Arachis villosa.csv,output/p2/occs/Arachis villosa/splink/Arachis villosa.csv
Araucaria angustifolia,output/p2/occs/Araucaria angustifolia/gbif/Araucaria angustifolia.csv,output/p2/occs/Araucaria angustifolia/splink/Araucaria angustifolia.csv
Aristida brasiliensis,output/p2/occs/Aristida brasiliensis/gbif/Aristida brasiliensis.csv,output/p2/occs/Aristida brasiliensis/splink/Aristida brasiliensis.csv
Aristida circinalis,output/p2/occs/Aristida circinalis/gbif/Aristida circinalis.csv,output/p2/occs/Aristida circinalis/splink/Aristida circinalis.csv
Aristida ekmaniana,output/p2/occs/Aristida ekmaniana/gbif/Aristida ekmaniana.csv,output/p2/occs/Aristida ekmaniana/splink/Aristida ekmaniana.csv
Aristida macrophylla,output/p2/occs/Aristida macrophylla/gbif/Aristida macrophylla.csv,output/p2/occs/Aristida macrophylla/splink/Aristida macrophylla.csv
Aristida subaequans,output/p2/occs/Aristida subaequans/gbif/Aristida subaequans.csv,output/p2/occs/Aristida subaequans/splink/Aristida subaequans.csv
Aristolochia cymbifera,output/p2/occs/Aristolochia cymbifera/gbif/Aristolochia cymbifera.csv,output/p2/occs/Aristolochia cymbifera/splink/Aristolochia cymbifera.csv
Aristolochia hypoglauca,output/p2/occs/Aristolochia hypoglauca/gbif/Aristolochia hypoglauca.csv,output/p2/occs/Aristolochia hypoglauca/splink/Aristolochia hypoglauca.csv
Arthropogon xerachne,output/p2/occs/Arthropogon xerachne/gbif/Arthropogon xerachne.csv,output/p2/occs/Arthropogon xerachne/splink/Arthropogon xerachne.csv
Arundinella deppeana,output/p2/occs/Arundinella deppeana/gbif/Arundinella deppeana.csv,output/p2/occs/Arundinella deppeana/splink/Arundinella deppeana.csv
Asclepias aequicornu,output/p2/occs/Asclepias aequicornu/gbif/Asclepias aequicornu.csv,output/p2/occs/Asclepias aequicornu/splink/Asclepias aequicornu.csv
Asclepias langsdorffii,output/p2/occs/Asclepias langsdorffii/gbif/Asclepias langsdorffii.csv,output/p2/occs/Asclepias langsdorffii/splink/Asclepias langsdorffii.csv
Aspidosperma compactinervium,output/p2/occs/Aspidosperma compactinervium/gbif/Aspidosperma compactinervium.csv,output/p2/occs/Aspidosperma compactinervium/splink/Aspidosperma compactinervium.csv
Aspidosperma parvifolium,output/p2/occs/Aspidosperma parvifolium/gbif/Aspidosperma parvifolium.csv,output/p2/occs/Aspidosperma parvifolium/splink/Aspidosperma parvifolium.csv
Aspidosperma polyneuron,output/p2/occs/Aspidosperma polyneuron/gbif/Aspidosperma polyneuron.csv,output/p2/occs/Aspidosperma polyneuron/splink/Aspidosperma polyneuron.csv
Aspidosperma quirandy,output/p2/occs/Aspidosperma quirandy/gbif/Aspidosperma quirandy.csv,output/p2/occs/Aspidosperma quirandy/splink/Aspidosperma quirandy.csv
Aspidosperma riedelii,output/p2/occs/Aspidosperma riedelii/gbif/Aspidosperma riedelii.csv,output/p2/occs/Aspidosperma riedelii/splink/Aspidosperma riedelii.csv
Aspilia espinhacensis,output/p2/occs/Aspilia espinhacensis/gbif/Aspilia espinhacensis.csv,output/p2/occs/Aspilia espinhacensis/splink/Aspilia espinhacensis.csv
Aspilia floribunda,output/p2/occs/Aspilia floribunda/gbif/Aspilia floribunda.csv,output/p2/occs/Aspilia floribunda/splink/Aspilia floribunda.csv
Asplenium austrobrasiliense,output/p2/occs/Asplenium austrobrasiliense/gbif/Asplenium austrobrasiliense.csv,output/p2/occs/Asplenium austrobrasiliense/splink/Asplenium austrobrasiliense.csv
Asplenium bradeanum,output/p2/occs/Asplenium bradeanum/gbif/Asplenium bradeanum.csv,output/p2/occs/Asplenium bradeanum/splink/Asplenium bradeanum.csv
Asplundia brachypus,output/p2/occs/Asplundia brachypus/gbif/Asplundia brachypus.csv,output/p2/occs/Asplundia brachypus/splink/Asplundia brachypus.csv
Asterostigma colubrinum,output/p2/occs/Asterostigma colubrinum/gbif/Asterostigma colubrinum.csv,output/p2/occs/Asterostigma colubrinum/splink/Asterostigma colubrinum.csv
Asterostigma cubense,output/p2/occs/Asterostigma cubense/gbif/Asterostigma cubense.csv,output/p2/occs/Asterostigma cubense/splink/Asterostigma cubense.csv
Asterostigma tweedianum,output/p2/occs/Asterostigma tweedianum/gbif/Asterostigma tweedianum.csv,output/p2/occs/Asterostigma tweedianum/splink/Asterostigma tweedianum.csv
Astronium urundeuva,output/p2/occs/Astronium urundeuva/gbif/Astronium urundeuva.csv,output/p2/occs/Astronium urundeuva/splink/Astronium urundeuva.csv
Athenaea fasciculata,output/p2/occs/Athenaea fasciculata/gbif/Athenaea fasciculata.csv,output/p2/occs/Athenaea fasciculata/splink/Athenaea fasciculata.csv
Athenaea sellowiana,output/p2/occs/Athenaea sellowiana/gbif/Athenaea sellowiana.csv,output/p2/occs/Athenaea sellowiana/splink/Athenaea sellowiana.csv
Atractylocarpus brasiliensis,output/p2/occs/Atractylocarpus brasiliensis/gbif/Atractylocarpus brasiliensis.csv,output/p2/occs/Atractylocarpus brasiliensis/splink/Atractylocarpus brasiliensis.csv
Aulonemia setosa,output/p2/occs/Aulonemia setosa/gbif/Aulonemia setosa.csv,output/p2/occs/Aulonemia setosa/splink/Aulonemia setosa.csv
Austrocritonia angulicaulis,output/p2/occs/Austrocritonia angulicaulis/gbif/Austrocritonia angulicaulis.csv,output/p2/occs/Austrocritonia angulicaulis/splink/Austrocritonia angulicaulis.csv
Austroeupatorium rosmarinaceum,output/p2/occs/Austroeupatorium rosmarinaceum/gbif/Austroeupatorium rosmarinaceum.csv,output/p2/occs/Austroeupatorium rosmarinaceum/splink/Austroeupatorium rosmarinaceum.csv
Avena strigosa,output/p2/occs/Avena strigosa/gbif/Avena strigosa.csv,output/p2/occs/Avena strigosa/splink/Avena strigosa.csv
Axonopus argentinus,output/p2/occs/Axonopus argentinus/gbif/Axonopus argentinus.csv,output/p2/occs/Axonopus argentinus/splink/Axonopus argentinus.csv
Axonopus carajasensis,output/p2/occs/Axonopus carajasensis/gbif/Axonopus carajasensis.csv,output/p2/occs/Axonopus carajasensis/splink/Axonopus carajasensis.csv
Axonopus comans,output/p2/occs/Axonopus comans/gbif/Axonopus comans.csv,output/p2/occs/Axonopus comans/splink/Axonopus comans.csv
Axonopus monticola,output/p2/occs/Axonopus monticola/gbif/Axonopus monticola.csv,output/p2/occs/Axonopus monticola/splink/Axonopus monticola.csv
Axonopus uninodis,output/p2/occs/Axonopus uninodis/gbif/Axonopus uninodis.csv,output/p2/occs/Axonopus uninodis/splink/Axonopus uninodis.csv
Baccharis aracatubensis,output/p2/occs/Baccharis aracatubensis/gbif/Baccharis aracatubensis.csv,output/p2/occs/Baccharis aracatubensis/splink/Baccharis aracatubensis.csv
Baccharis elliptica,output/p2/occs/Baccharis elliptica/gbif/Baccharis elliptica.csv,output/p2/occs/Baccharis elliptica/splink/Baccharis elliptica.csv
Baccharis pseudoalpestris,output/p2/occs/Baccharis pseudoalpestris/gbif/Baccharis pseudoalpestris.csv,output/p2/occs/Baccharis pseudoalpestris/splink/Baccharis pseudoalpestris.csv
Baccharis sphenophylla,output/p2/occs/Baccharis sphenophylla/gbif/Baccharis sphenophylla.csv,output/p2/occs/Baccharis sphenophylla/splink/Baccharis sphenophylla.csv
Bacopa congesta,output/p2/occs/Bacopa congesta/gbif/Bacopa congesta.csv,output/p2/occs/Bacopa congesta/splink/Bacopa congesta.csv
Balfourodendron riedelianum,output/p2/occs/Balfourodendron riedelianum/gbif/Balfourodendron riedelianum.csv,output/p2/occs/Balfourodendron riedelianum/splink/Balfourodendron riedelianum.csv
Banisteriopsis parviflora,output/p2/occs/Banisteriopsis parviflora/gbif/Banisteriopsis parviflora.csv,output/p2/occs/Banisteriopsis parviflora/splink/Banisteriopsis parviflora.csv
Barbosella dusenii,output/p2/occs/Barbosella dusenii/gbif/Barbosella dusenii.csv,output/p2/occs/Barbosella dusenii/splink/Barbosella dusenii.csv
Barnebya dispar,output/p2/occs/Barnebya dispar/gbif/Barnebya dispar.csv,output/p2/occs/Barnebya dispar/splink/Barnebya dispar.csv
Begonia brevilobata,output/p2/occs/Begonia brevilobata/gbif/Begonia brevilobata.csv,output/p2/occs/Begonia brevilobata/splink/Begonia brevilobata.csv
Begonia coccinea,output/p2/occs/Begonia coccinea/gbif/Begonia coccinea.csv,output/p2/occs/Begonia coccinea/splink/Begonia coccinea.csv
Begonia dentatiloba,output/p2/occs/Begonia dentatiloba/gbif/Begonia dentatiloba.csv,output/p2/occs/Begonia dentatiloba/splink/Begonia dentatiloba.csv
Begonia handroi,output/p2/occs/Begonia handroi/gbif/Begonia handroi.csv,output/p2/occs/Begonia handroi/splink/Begonia handroi.csv
Begonia itatinensis,output/p2/occs/Begonia itatinensis/gbif/Begonia itatinensis.csv,output/p2/occs/Begonia itatinensis/splink/Begonia itatinensis.csv
Begonia paranaensis,output/p2/occs/Begonia paranaensis/gbif/Begonia paranaensis.csv,output/p2/occs/Begonia paranaensis/splink/Begonia paranaensis.csv
Begonia paulensis,output/p2/occs/Begonia paulensis/gbif/Begonia paulensis.csv,output/p2/occs/Begonia paulensis/splink/Begonia paulensis.csv
Begonia piresiana,output/p2/occs/Begonia piresiana/gbif/Begonia piresiana.csv,output/p2/occs/Begonia piresiana/splink/Begonia piresiana.csv
Begonia salesopolensis,output/p2/occs/Begonia salesopolensis/gbif/Begonia salesopolensis.csv,output/p2/occs/Begonia salesopolensis/splink/Begonia salesopolensis.csv
Begonia santoslimae,output/p2/occs/Begonia santoslimae/gbif/Begonia santoslimae.csv,output/p2/occs/Begonia santoslimae/splink/Begonia santoslimae.csv
Begonia toledoana,output/p2/occs/Begonia toledoana/gbif/Begonia toledoana.csv,output/p2/occs/Begonia toledoana/splink/Begonia toledoana.csv
Beilschmiedia fluminensis,output/p2/occs/Beilschmiedia fluminensis/gbif/Beilschmiedia fluminensis.csv,output/p2/occs/Beilschmiedia fluminensis/splink/Beilschmiedia fluminensis.csv
Bernardia pulchella,output/p2/occs/Bernardia pulchella/gbif/Bernardia pulchella.csv,output/p2/occs/Bernardia pulchella/splink/Bernardia pulchella.csv
Bertolonia hoehneana,output/p2/occs/Bertolonia hoehneana/gbif/Bertolonia hoehneana.csv,output/p2/occs/Bertolonia hoehneana/splink/Bertolonia hoehneana.csv
Bidens bipinnata,output/p2/occs/Bidens bipinnata/gbif/Bidens bipinnata.csv,output/p2/occs/Bidens bipinnata/splink/Bidens bipinnata.csv
Bifrenaria racemosa,output/p2/occs/Bifrenaria racemosa/gbif/Bifrenaria racemosa.csv,output/p2/occs/Bifrenaria racemosa/splink/Bifrenaria racemosa.csv
Bifrenaria tyrianthina,output/p2/occs/Bifrenaria tyrianthina/gbif/Bifrenaria tyrianthina.csv,output/p2/occs/Bifrenaria tyrianthina/splink/Bifrenaria tyrianthina.csv
Billbergia nutans,output/p2/occs/Billbergia nutans/gbif/Billbergia nutans.csv,output/p2/occs/Billbergia nutans/splink/Billbergia nutans.csv
Billbergia pyramidalis,output/p2/occs/Billbergia pyramidalis/gbif/Billbergia pyramidalis.csv,output/p2/occs/Billbergia pyramidalis/splink/Billbergia pyramidalis.csv
Blumenbachia scabra,output/p2/occs/Blumenbachia scabra/gbif/Blumenbachia scabra.csv,output/p2/occs/Blumenbachia scabra/splink/Blumenbachia scabra.csv
Bowdichia virgilioides,output/p2/occs/Bowdichia virgilioides/gbif/Bowdichia virgilioides.csv,output/p2/occs/Bowdichia virgilioides/splink/Bowdichia virgilioides.csv
Brachionidium restrepioides,output/p2/occs/Brachionidium restrepioides/gbif/Brachionidium restrepioides.csv,output/p2/occs/Brachionidium restrepioides/splink/Brachionidium restrepioides.csv
Brosimum glaziovii,output/p2/occs/Brosimum glaziovii/gbif/Brosimum glaziovii.csv,output/p2/occs/Brosimum glaziovii/splink/Brosimum glaziovii.csv
Brugmansia suaveolens,output/p2/occs/Brugmansia suaveolens/gbif/Brugmansia suaveolens.csv,output/p2/occs/Brugmansia suaveolens/splink/Brugmansia suaveolens.csv
Butia eriospatha,output/p2/occs/Butia eriospatha/gbif/Butia eriospatha.csv,output/p2/occs/Butia eriospatha/splink/Butia eriospatha.csv
Byttneria scabra,output/p2/occs/Byttneria scabra/gbif/Byttneria scabra.csv,output/p2/occs/Byttneria scabra/splink/Byttneria scabra.csv
Calea acaulis,output/p2/occs/Calea acaulis/gbif/Calea acaulis.csv,output/p2/occs/Calea acaulis/splink/Calea acaulis.csv
Calea gentianoides,output/p2/occs/Calea gentianoides/gbif/Calea gentianoides.csv,output/p2/occs/Calea gentianoides/splink/Calea gentianoides.csv
Calea heteropappa,output/p2/occs/Calea heteropappa/gbif/Calea heteropappa.csv,output/p2/occs/Calea heteropappa/splink/Calea heteropappa.csv
Calea polycephala,output/p2/occs/Calea polycephala/gbif/Calea polycephala.csv,output/p2/occs/Calea polycephala/splink/Calea polycephala.csv
Calibrachoa humilis,output/p2/occs/Calibrachoa humilis/gbif/Calibrachoa humilis.csv,output/p2/occs/Calibrachoa humilis/splink/Calibrachoa humilis.csv
Callianthe latipetala,output/p2/occs/Callianthe latipetala/gbif/Callianthe latipetala.csv,output/p2/occs/Callianthe latipetala/splink/Callianthe latipetala.csv
Callisthene castellanosii,output/p2/occs/Callisthene castellanosii/gbif/Callisthene castellanosii.csv,output/p2/occs/Callisthene castellanosii/splink/Callisthene castellanosii.csv
Camarea hirsuta,output/p2/occs/Camarea hirsuta/gbif/Camarea hirsuta.csv,output/p2/occs/Camarea hirsuta/splink/Camarea hirsuta.csv
Cambessedesia glaziovii,output/p2/occs/Cambessedesia glaziovii/gbif/Cambessedesia glaziovii.csv,output/p2/occs/Cambessedesia glaziovii/splink/Cambessedesia glaziovii.csv
Campomanesia hirsuta,output/p2/occs/Campomanesia hirsuta/gbif/Campomanesia hirsuta.csv,output/p2/occs/Campomanesia hirsuta/splink/Campomanesia hirsuta.csv
Campomanesia neriiflora,output/p2/occs/Campomanesia neriiflora/gbif/Campomanesia neriiflora.csv,output/p2/occs/Campomanesia neriiflora/splink/Campomanesia neriiflora.csv
Campomanesia phaea,output/p2/occs/Campomanesia phaea/gbif/Campomanesia phaea.csv,output/p2/occs/Campomanesia phaea/splink/Campomanesia phaea.csv
Campomanesia reitziana,output/p2/occs/Campomanesia reitziana/gbif/Campomanesia reitziana.csv,output/p2/occs/Campomanesia reitziana/splink/Campomanesia reitziana.csv
Campylocentrum spannagelii,output/p2/occs/Campylocentrum spannagelii/gbif/Campylocentrum spannagelii.csv,output/p2/occs/Campylocentrum spannagelii/splink/Campylocentrum spannagelii.csv
Capanemia therezae,output/p2/occs/Capanemia therezae/gbif/Capanemia therezae.csv,output/p2/occs/Capanemia therezae/splink/Capanemia therezae.csv
Cariniana legalis,output/p2/occs/Cariniana legalis/gbif/Cariniana legalis.csv,output/p2/occs/Cariniana legalis/splink/Cariniana legalis.csv
Casearia lasiophylla,output/p2/occs/Casearia lasiophylla/gbif/Casearia lasiophylla.csv,output/p2/occs/Casearia lasiophylla/splink/Casearia lasiophylla.csv
Casearia paranaensis,output/p2/occs/Casearia paranaensis/gbif/Casearia paranaensis.csv,output/p2/occs/Casearia paranaensis/splink/Casearia paranaensis.csv
Catasetum atratum,output/p2/occs/Catasetum atratum/gbif/Catasetum atratum.csv,output/p2/occs/Catasetum atratum/splink/Catasetum atratum.csv
Cattleya bicolor,output/p2/occs/Cattleya bicolor/gbif/Cattleya bicolor.csv,output/p2/occs/Cattleya bicolor/splink/Cattleya bicolor.csv
Cattleya crispa,output/p2/occs/Cattleya crispa/gbif/Cattleya crispa.csv,output/p2/occs/Cattleya crispa/splink/Cattleya crispa.csv
Cattleya intermedia,output/p2/occs/Cattleya intermedia/gbif/Cattleya intermedia.csv,output/p2/occs/Cattleya intermedia/splink/Cattleya intermedia.csv
Cattleya jongheana,output/p2/occs/Cattleya jongheana/gbif/Cattleya jongheana.csv,output/p2/occs/Cattleya jongheana/splink/Cattleya jongheana.csv
Cattleya labiata,output/p2/occs/Cattleya labiata/gbif/Cattleya labiata.csv,output/p2/occs/Cattleya labiata/splink/Cattleya labiata.csv
Cattleya pumila,output/p2/occs/Cattleya pumila/gbif/Cattleya pumila.csv,output/p2/occs/Cattleya pumila/splink/Cattleya pumila.csv
Cattleya purpurata,output/p2/occs/Cattleya purpurata/gbif/Cattleya purpurata.csv,output/p2/occs/Cattleya purpurata/splink/Cattleya purpurata.csv
Cattleya tigrina,output/p2/occs/Cattleya tigrina/gbif/Cattleya tigrina.csv,output/p2/occs/Cattleya tigrina/splink/Cattleya tigrina.csv
Cattleya wittigiana,output/p2/occs/Cattleya wittigiana/gbif/Cattleya wittigiana.csv,output/p2/occs/Cattleya wittigiana/splink/Cattleya wittigiana.csv
Cayaponia bonariensis,output/p2/occs/Cayaponia bonariensis/gbif/Cayaponia bonariensis.csv,output/p2/occs/Cayaponia bonariensis/splink/Cayaponia bonariensis.csv
Cayaponia trilobata,output/p2/occs/Cayaponia trilobata/gbif/Cayaponia trilobata.csv,output/p2/occs/Cayaponia trilobata/splink/Cayaponia trilobata.csv
Cedrela fissilis,output/p2/occs/Cedrela fissilis/gbif/Cedrela fissilis.csv,output/p2/occs/Cedrela fissilis/splink/Cedrela fissilis.csv
Cedrela odorata,output/p2/occs/Cedrela odorata/gbif/Cedrela odorata.csv,output/p2/occs/Cedrela odorata/splink/Cedrela odorata.csv
Centrosema jaraguaense,output/p2/occs/Centrosema jaraguaense/gbif/Centrosema jaraguaense.csv,output/p2/occs/Centrosema jaraguaense/splink/Centrosema jaraguaense.csv
Chaetogastra versicolor,output/p2/occs/Chaetogastra versicolor/gbif/Chaetogastra versicolor.csv,output/p2/occs/Chaetogastra versicolor/splink/Chaetogastra versicolor.csv
Chaetostoma glaziovii,output/p2/occs/Chaetostoma glaziovii/gbif/Chaetostoma glaziovii.csv,output/p2/occs/Chaetostoma glaziovii/splink/Chaetostoma glaziovii.csv
Chamaecrista aristata,output/p2/occs/Chamaecrista aristata/gbif/Chamaecrista aristata.csv,output/p2/occs/Chamaecrista aristata/splink/Chamaecrista aristata.csv
Chamaecrista choriophylla,output/p2/occs/Chamaecrista choriophylla/gbif/Chamaecrista choriophylla.csv,output/p2/occs/Chamaecrista choriophylla/splink/Chamaecrista choriophylla.csv
Chamaecrista trachycarpa,output/p2/occs/Chamaecrista trachycarpa/gbif/Chamaecrista trachycarpa.csv,output/p2/occs/Chamaecrista trachycarpa/splink/Chamaecrista trachycarpa.csv
Chascolytrum brasilense,output/p2/occs/Chascolytrum brasilense/gbif/Chascolytrum brasilense.csv,output/p2/occs/Chascolytrum brasilense/splink/Chascolytrum brasilense.csv
Chaubardia gehrtiana,output/p2/occs/Chaubardia gehrtiana/gbif/Chaubardia gehrtiana.csv,output/p2/occs/Chaubardia gehrtiana/splink/Chaubardia gehrtiana.csv
Cheilanthes regnelliana,output/p2/occs/Cheilanthes regnelliana/gbif/Cheilanthes regnelliana.csv,output/p2/occs/Cheilanthes regnelliana/splink/Cheilanthes regnelliana.csv
Chionanthus filiformis,output/p2/occs/Chionanthus filiformis/gbif/Chionanthus filiformis.csv,output/p2/occs/Chionanthus filiformis/splink/Chionanthus filiformis.csv
Chionanthus subsessilis,output/p2/occs/Chionanthus subsessilis/gbif/Chionanthus subsessilis.csv,output/p2/occs/Chionanthus subsessilis/splink/Chionanthus subsessilis.csv
Chiropetalum tricoccum,output/p2/occs/Chiropetalum tricoccum/gbif/Chiropetalum tricoccum.csv,output/p2/occs/Chiropetalum tricoccum/splink/Chiropetalum tricoccum.csv
Chloroleucon tortum,output/p2/occs/Chloroleucon tortum/gbif/Chloroleucon tortum.csv,output/p2/occs/Chloroleucon tortum/splink/Chloroleucon tortum.csv
Chomelia brasiliana,output/p2/occs/Chomelia brasiliana/gbif/Chomelia brasiliana.csv,output/p2/occs/Chomelia brasiliana/splink/Chomelia brasiliana.csv
Chomelia obtusa,output/p2/occs/Chomelia obtusa/gbif/Chomelia obtusa.csv,output/p2/occs/Chomelia obtusa/splink/Chomelia obtusa.csv
Christiana macrodon,output/p2/occs/Christiana macrodon/gbif/Christiana macrodon.csv,output/p2/occs/Christiana macrodon/splink/Christiana macrodon.csv
Chromolaena elliptica,output/p2/occs/Chromolaena elliptica/gbif/Chromolaena elliptica.csv,output/p2/occs/Chromolaena elliptica/splink/Chromolaena elliptica.csv
Chromolaena latisquamulosa,output/p2/occs/Chromolaena latisquamulosa/gbif/Chromolaena latisquamulosa.csv,output/p2/occs/Chromolaena latisquamulosa/splink/Chromolaena latisquamulosa.csv
Chromolaena paraguariensis,output/p2/occs/Chromolaena paraguariensis/gbif/Chromolaena paraguariensis.csv,output/p2/occs/Chromolaena paraguariensis/splink/Chromolaena paraguariensis.csv
Chromolaena rhinanthacea,output/p2/occs/Chromolaena rhinanthacea/gbif/Chromolaena rhinanthacea.csv,output/p2/occs/Chromolaena rhinanthacea/splink/Chromolaena rhinanthacea.csv
Chrysophyllum flexuosum,output/p2/occs/Chrysophyllum flexuosum/gbif/Chrysophyllum flexuosum.csv,output/p2/occs/Chrysophyllum flexuosum/splink/Chrysophyllum flexuosum.csv
Chrysophyllum imperiale,output/p2/occs/Chrysophyllum imperiale/gbif/Chrysophyllum imperiale.csv,output/p2/occs/Chrysophyllum imperiale/splink/Chrysophyllum imperiale.csv
Chrysophyllum inornatum,output/p2/occs/Chrysophyllum inornatum/gbif/Chrysophyllum inornatum.csv,output/p2/occs/Chrysophyllum inornatum/splink/Chrysophyllum inornatum.csv
Chrysophyllum paranaense,output/p2/occs/Chrysophyllum paranaense/gbif/Chrysophyllum paranaense.csv,output/p2/occs/Chrysophyllum paranaense/splink/Chrysophyllum paranaense.csv
Chrysophyllum viride,output/p2/occs/Chrysophyllum viride/gbif/Chrysophyllum viride.csv,output/p2/occs/Chrysophyllum viride/splink/Chrysophyllum viride.csv
Chusquea anelythra,output/p2/occs/Chusquea anelythra/gbif/Chusquea anelythra.csv,output/p2/occs/Chusquea anelythra/splink/Chusquea anelythra.csv
